Player Name,Mat,Inn,NO,Runs,HS,Ave,Balls,SR,100,50,0,4s,6s
Rubel Hossain,12,2,2,3,2,0,1.3,33.33,0,0,0,0,0
Taskin Ahmed,11,4,1,3,2,1,2.3,20,0,0,1,0,0
Tanbir Hayder,1,1,1,2,2,0,0.2,100,0,0,0,0,0
Mahedi Hasan,2,1,1,2,2,0,0.2,100,0,0,0,0,0
Suhrawadi Shuvo,2,1,0,2,2,2,0.3,66.67,0,0,0,0,0
Junaid Khan,14,6,4,2,1,1,2.2,14.29,0,0,1,0,0
Nabil Samad,10,2,2,1,1,0,0.1,100,0,0,0,0,0
Nazmul Islam,10,2,0,1,1,0.5,1.1,14.29,0,0,1,0,0
Mohammad Shahid,8,1,1,1,1,0,0.1,100,0,0,0,0,0
Monir Hossain,6,1,0,1,1,1,0.2,50,0,0,0,0,0
Kumar Sangakkara,10,10,1,349,75,38.78,49.4,117.11,0,2,0,35,5
Imrul Kayes,12,12,1,312,67,28.36,45.2,114.71,0,2,3,32,10
Tamim Iqbal,9,9,1,298,69,37.25,41.5,118.73,0,3,0,29,9
Mahmudullah,13,12,2,279,51,27.9,46.2,100.36,0,2,0,27,3
Tillakaratne Dilshan,10,10,1,260,67,28.89,32.3,133.33,0,1,1,31,10
Lendl Simmons,10,10,0,221,73,22.1,35.5,102.79,0,2,0,29,5
Ashar Zaidi,11,8,4,215,53,53.75,25.5,138.71,0,1,0,16,10
Jahurul Islam,9,9,4,205,62,41,34.1,100,0,1,0,17,4
Ahmed Shehzad,7,7,1,204,76,34,30.4,110.87,0,1,1,24,3
Nasir Hossain,11,11,1,193,33,19.3,31.2,102.66,0,0,0,8,9
Sabbir Rahman,13,10,0,189,79,18.9,30.2,103.85,0,1,1,14,7
Soumya Sarkar,12,12,1,177,58,16.09,26.3,111.32,0,1,1,26,3
Dilshan Munaweera,8,8,0,173,64,21.63,21.3,134.11,0,1,2,28,4
Mushfiqur Rahim,10,9,3,157,50,26.17,23.4,110.56,0,1,2,12,3
