Player,Mat,Inn,Overs,Mdns,Runs,Wkts,Ave,Econ,4w,5w,SR
Sarel Erwee,5,1,2,0,14,2,7,7,0,0,6
Rassie van der Dussen,3,1,3,0,15,2,7.5,5,0,0,9
Aviwe Mgijima,2,1,4,0,21,2,10.5,5.25,0,0,12
Lonwabo Tsotsobe,2,2,7,0,22,2,11,3.14,0,0,21
Henry Davids,2,2,3,0,26,2,13,8.67,0,0,9
Malcolm Waller,2,2,5,0,29,2,14.5,5.8,0,0,15
Pumelela Matshikwe,2,2,8,0,36,2,18,4.5,0,0,24
Vernon Philander,2,2,7,1,43,2,21.5,6.14,0,0,21
Kyle Abbott,3,3,9,0,42,2,21,4.67,0,0,27
Loyiso Mdasha,3,3,6,0,47,2,23.5,7.83,0,0,18
Marcello Piedt,3,3,8.1,1,49,2,24.5,6,0,0,24.5
Lwandiswa Zuma,3,3,6,0,57,2,28.5,9.5,0,0,18
Aubrey Swanepoel,3,3,12,0,64,2,32,5.33,0,0,36
Nelson Odhiambo,3,3,9.5,0,68,2,34,7.7,0,0,26.5
Brad Dolley,3,3,11,0,73,2,36.5,6.64,0,0,33
Shem Ngoche,3,3,11,0,88,2,44,8,0,0,33
Ferisco Adams,3,3,12,0,93,2,46.5,7.75,0,0,36
Craig Kirsten,4,4,10.1,0,68,2,34,6.69,0,0,30.5
Alfred Mothoa,4,4,11,0,72,2,36,6.55,0,0,33
Andile Phehlukwayo,4,4,11,0,79,2,39.5,7.18,0,0,33
Sohail Mahmoud,5,5,10,0,88,2,44,8.8,0,0,30
Ruhan Pretorius,5,5,11,0,91,2,45.5,8.27,0,0,33
Craig Alexander,5,5,17,1,92,2,46,5.41,0,0,51
Thabo Masheshemane,2,1,1,0,10,1,10,10,0,0,6
Diego Rosier,3,1,1,0,17,1,17,17,0,0,6
Dillon du Preez,1,1,4,0,18,1,18,4.5,0,0,24
Martin Okoth,1,1,3,0,21,1,21,7,0,0,18
Kurtlyn Mannikam,5,1,3,0,21,1,21,7,0,0,18
Luthando Mnyanda,3,1,3,0,23,1,23,7.67,0,0,18
Emmanuel Sebareme,1,1,4,0,25,1,25,6.25,0,0,24
Donald Tiripanno,1,1,3,0,26,1,26,8.67,0,0,18
Carmi le Roux,1,1,4,0,34,1,34,8.5,0,0,24
Junior Dala,1,1,4,0,35,1,35,8.75,0,0,24
Clayton August,2,2,7,0,28,1,28,4,0,0,42
Dane Paterson,2,2,7,1,28,1,28,4,0,0,42
Aaron Phangiso,2,2,8.5,1,36,1,36,4.6,0,0,47
Aiden Markram,4,2,5,0,38,1,38,7.6,0,0,30
Neville Madziva,2,2,6,0,44,1,44,7.33,0,0,36
Sibonelo Makhanya,4,2,4,0,45,1,45,11.25,0,0,24
Warren Bell,2,2,6,0,45,1,45,7.5,0,0,36
Grant Thomson,2,2,8,1,45,1,45,5.63,0,0,48
George Linde,2,2,8,0,53,1,53,6.63,0,0,48
Gerrie Snyman,3,2,8,0,59,1,59,7.38,0,0,48
Lundi Mbane,2,2,8,0,65,1,65,8.13,0,0,48
Julian Soutter,3,3,7,0,45,1,45,6.43,0,0,42
Mbasa Gqadushe,5,3,7,0,50,1,50,7.14,0,0,42
Zhivago Groenewald,3,3,7,0,56,1,56,8,0,0,42
Phaphama Fojela,3,3,10,0,61,1,61,6.1,0,0,60
Sarel Burger,3,3,10.5,0,63,1,63,6.41,0,0,59
Johannes Diseko,3,3,7,0,70,1,70,10,0,0,42
Devon Conway,3,3,8,0,72,1,72,9,0,0,48
Robin Peterson,3,3,12,0,83,1,83,6.92,0,0,72
Sisonda Magala,3,3,12,0,106,1,106,8.83,0,0,72
Jhye Richardson,17,17,62.3,1,473,29,16.31,7.69,2,0,12.72
Fawad Ahmed,17,16,57.3,1,436,15,29.07,7.72,0,0,22.6
Mark Steketee,16,16,56.2,0,522,24,21.75,9.27,1,0,14.08
Wes Agar,15,15,55.4,1,457,22,20.77,8.36,1,0,14.91
Scott Boland,14,14,54.2,1,432,17,25.41,7.95,1,0,19.18
Andrew Tye,17,16,54.1,0,433,21,20.62,7.99,1,0,15.48
Nathan Ellis,14,14,54.4,0,446,20,22.3,8.31,1,0,16.1
Jason Behrendorff,16,16,53,1,373,16,23.31,7.04,0,0,19.88
Riley Meredith,13,13,50.2,0,394,16,24.63,7.83,0,0,18.88
Steve O'Keefe,14,14,49,0,340,15,22.67,6.94,0,0,19.6
Carlos Brathwaite,16,16,48,0,385,16,24.06,8.02,1,0,18
Tanveer Sangha,15,15,48.3,0,384,21,18.29,8.08,1,0,13.57
P Hatzoglou,13,12,47,0,389,17,22.88,8.28,0,0,16.59
Danny Briggs,14,14,46.5,0,340,11,30.91,7.42,0,0,25
Ben Dwarshuis,13,13,46.3,1,403,24,16.79,8.86,1,0,11.38
Adam Zampa,12,12,45.1,0,332,19,17.47,7.35,0,1,14.26
Daniel Christian,16,14,45,0,398,15,26.53,8.84,0,0,18
Aaron Hardie,17,16,44,0,397,10,39.7,9.02,0,0,26.4
Nathan McAndrew,13,13,44,0,429,15,28.6,9.75,0,0,17.6
Adam Milne,12,12,44,0,333,5,66.6,7.57,0,0,52.8
Peter Siddle,13,13,43.2,0,323,19,17,7.45,0,1,13.68
Jack Wildermuth,12,12,42,0,312,13,24,7.43,0,0,19.38
Xavier Bartlett,16,15,41,2,328,12,27.33,8,0,0,20.5
Kane Richardson,11,11,41.3,0,324,15,21.6,8,0,0,16.2
Chris Green,14,14,39,0,336,13,25.85,8.62,1,0,18
Rashid Khan,10,10,39,0,268,16,16.75,6.87,0,0,14.63
Billy Stanlake,12,12,39.5,0,324,13,24.92,8.34,0,0,17.92
Imad Wasim,10,10,37.1,0,266,10,26.6,7.16,0,0,22.3
Daniel Worrall,11,10,37.1,1,271,10,27.1,7.29,0,0,22.3
Liam Hatcher,9,9,35.4,0,308,13,23.69,8.88,0,0,16
D'Arcy Short,14,14,32,0,254,8,31.75,7.94,0,0,24
Sandeep Lamichhane,8,8,31,0,234,8,29.25,7.55,0,0,23.25
Daniel Sams,10,9,31.4,0,261,11,23.73,8.51,0,0,16.73
Mujeeb Zadran,8,8,30,0,188,14,13.43,6.27,0,1,12.86
Jackson Bird,9,9,29,0,215,7,30.71,7.41,0,0,24.86
Zahir Khan,8,8,29,0,201,6,33.5,6.93,0,0,29
Ben Cutting,15,14,29,0,222,4,55.5,7.66,0,0,43.5
Ben Laughlin,8,8,29,0,259,1,259,8.93,0,0,174
Glenn Maxwell,14,12,29.5,0,221,7,31.57,7.66,0,0,24.71
Lewis Gregory,14,11,27,0,275,7,39.29,10.19,0,0,23.14
Josh Lalor,7,7,26,1,274,6,45.67,10.54,0,0,26
Jake Ball,7,7,24,0,267,9,29.67,11.13,0,0,16
Mitch Swepson,6,6,24,0,162,9,18,6.75,0,0,16
Benjamin Manenti,8,8,22,0,159,5,31.8,7.23,0,0,26.4
Noor Ahmad,6,6,22,0,184,2,92,8.36,0,0,66
Jack Prestwidge,8,8,22,0,171,5,34.2,7.77,0,0,26.4
Nathan Coulter-Nile,6,6,22.5,0,172,11,15.64,7.88,1,0,11.91
Morne Morkel,6,6,21,0,176,5,35.2,8.38,0,0,25.2
Brendan Doggett,5,5,18.1,0,120,9,13.33,6.61,1,0,12.11
Sam Rainbird,5,5,18,0,149,5,29.8,8.28,0,0,21.6
Lloyd Pope,6,6,18,0,149,4,37.25,8.28,0,0,27
James Faulkner,5,5,18.4,0,132,8,16.5,7.47,0,0,13.25
Marnus Labuschagne,6,6,17,0,146,10,14.6,8.59,0,0,10.2
Beau Webster,12,6,16,0,109,1,109,6.81,0,0,96
Will Sutherland,6,6,16.5,0,164,4,41,10.36,0,0,23.75
Mohammad Nabi,7,7,15,0,140,4,35,9.33,0,0,22.5
Liam O'Connor,5,5,15,0,100,2,50,6.67,0,0,45
Zak Evans,5,5,15,0,146,10,14.6,9.73,0,1,9
Sean Abbott,4,4,14,0,131,7,18.71,9.36,0,0,12
Matthew Kuhnemann,6,6,14,0,104,3,34.67,7.43,0,0,28
James Bazley,8,6,12,0,94,3,31.33,7.83,0,0,24
Michael Neser,4,4,12,0,91,4,22.75,7.58,0,0,18
Mitchell Marsh,15,5,12.3,0,75,4,18.75,6.52,0,0,17.25
Johan Botha,5,5,11,0,86,3,28.67,7.82,0,0,22
Jason Holder,3,3,10,0,83,2,41.5,8.3,0,0,30
Liam Livingstone,14,6,10,0,85,5,17,8.5,0,0,12
Harry Conway,3,3,10,0,71,2,35.5,7.1,0,0,30
Jonathan Cook,3,3,9,0,87,3,29,9.67,0,0,18
Nic Maddinson,9,5,8,0,60,4,15,7.5,0,0,12
Chris Tremain,3,3,8.5,0,81,3,27,10.34,0,0,15.67
Nicholas Winter,3,3,7,0,58,0,0,8.29,0,0,0
Hilton Cartwright,14,4,6.1,0,96,2,48,15.57,0,0,18.5
Matt Renshaw,14,4,6,0,59,0,0,9.83,0,0,0
Haris Rauf,3,3,6,0,68,1,68,11.33,0,0,36
Marcus Stoinis,13,3,6,0,46,2,23,7.67,0,0,18
Clint Hinchliffe,4,4,6,0,62,2,31,10.33,0,0,18
Travis Head,4,3,6,0,44,1,44,7.33,0,0,36
Dilbar Hussain,2,2,6.5,0,36,3,12,6.17,0,0,11.67
Ashton Turner,17,5,6.3,0,54,0,0,9.82,0,0,0
Wil Parker,2,2,5,0,48,0,0,9.6,0,0,0
Keemo Paul,2,2,5,0,68,1,68,13.6,0,0,30
Benny Howell,2,2,5,0,36,0,0,7.2,0,0,0
Gurinder Sandhu,3,3,5,0,55,2,27.5,11,0,0,15
Will Jacks,8,3,4,0,35,1,35,8.75,0,0,24
Cameron Valente,1,1,4,0,36,1,36,9,0,0,24
Arjun Nair,1,1,3,0,19,1,19,6.33,0,0,18
Lance Morris,2,2,3,0,37,0,0,12.33,0,0,0
Joe Denly,12,2,3,0,23,0,0,7.67,0,0,0
Jack Wood,1,1,3,0,28,2,14,9.33,0,0,9
Dan Lawrence,4,2,3,0,26,0,0,8.67,0,0,0
Liam Scott,1,1,2,0,28,0,0,14,0,0,0
Mitchell Perry,1,1,2,0,33,1,33,16.5,0,0,12
Jon Holland,1,1,2,0,20,0,0,10,0,0,0
Matthew Short,5,2,2,0,17,0,0,8.5,0,0,0
Mitchell Owen,2,1,1,0,18,0,0,18,0,0,0
Jake Fraser-McGurk,10,1,1,0,10,0,0,10,0,0,0
Andre Fletcher,12,1,1,0,8,0,0,8,0,0,0
Joel Paris,1,1,1,0,10,0,0,10,0,0,0
Ryan Gibson,10,1,1,0,10,0,0,10,0,0,0
Tom O'Connell,1,1,1,0,15,0,0,15,0,0,0
Tim David,14,1,0.2,0,1,0,0,3,0,0,0
Simon Milenko,3,1,0.1,0,4,0,0,24,0,0,0
Daniel Sams,17,17,59.5,2,461,30,15.37,7.84,1,0,11.77
Rashid Khan,15,15,55.2,0,396,19,20.84,7.16,1,0,17.47
Fawad Ahmed,14,14,54,0,373,15,24.87,6.91,0,0,21.6
Chris Morris,15,15,53.1,0,426,22,19.36,8.01,0,0,14.5
Cameron Boyce,14,14,53,0,395,14,28.21,7.45,1,0,22.71
Jhye Richardson,14,14,53,1,375,15,25,7.08,1,0,21.2
Ben Dwarshuis,16,15,52.1,1,419,16,26.19,8.03,0,0,19.56
Nathan Ellis,15,15,51.5,0,404,12,33.67,7.95,0,0,25.42
Qais Ahmad,15,14,50,0,407,12,33.92,8.14,1,0,25
Peter Siddle,14,14,48.1,0,346,19,18.21,7.18,1,0,15.21
Tom Curran,14,13,47.1,0,427,22,19.41,9.05,1,0,12.86
Sandeep Lamichhane,13,13,45,1,335,15,22.33,7.44,0,0,18
Adam Zampa,12,12,45,0,324,20,16.2,7.2,0,0,13.5
Ben Laughlin,13,13,44,0,386,15,25.73,8.77,0,0,17.6
Chris Jordan,13,13,43,0,374,15,24.93,8.7,0,0,17.2
Daniel Worrall,14,14,42,0,322,8,40.25,7.67,0,0,31.5
Jonathan Cook,12,12,42,0,327,13,25.15,7.79,1,0,19.38
Wes Agar,12,12,41,0,365,17,21.47,8.9,1,0,14.47
Nathan Coulter-Nile,12,12,38,0,286,10,28.6,7.53,0,0,22.8
Josh Lalor,11,11,38,1,301,11,27.36,7.92,0,0,20.73
Scott Boland,10,10,38,0,315,15,21,8.29,0,0,15.2
Clive Rose,14,13,38,0,344,9,38.22,9.05,0,0,25.33
Haris Rauf,10,10,38.5,0,267,20,13.35,7.06,0,1,11.35
Glenn Maxwell,17,16,37,0,260,10,26,7.03,0,0,22.2
Chris Tremain,11,11,35,0,290,5,58,8.29,0,0,42
Arjun Nair,15,14,35,0,286,9,31.78,8.17,0,0,23.33
Michael Neser,10,10,34.4,0,273,10,27.3,8.11,0,0,20.2
Billy Stanlake,11,11,33,0,298,4,74.5,9.03,0,0,49.5
Jackson Bird,10,9,33,0,240,10,24,7.27,0,0,19.8
Ben Cutting,14,13,31.2,0,276,11,25.09,8.81,0,0,17.09
Kane Richardson,8,8,31.1,0,218,10,21.8,6.99,2,0,18.7
Mitch Swepson,10,9,31,0,227,9,25.22,7.32,0,0,20.67
Zahir Khan,8,8,29,0,191,8,23.88,6.59,0,0,21.75
Samit Patel,8,8,29,0,214,6,35.67,7.38,0,0,29
Matthew Kelly,9,9,28.2,0,266,8,33.25,9.39,0,0,21.25
Lloyd Pope,8,8,28,0,200,10,20,7.14,0,0,16.8
Ashton Agar,9,9,27,0,240,6,40,8.89,0,0,27
Thomas Rogers,8,8,26.2,0,233,5,46.6,8.85,0,0,31.6
Steve O'Keefe,9,7,26,0,180,7,25.71,6.92,0,0,22.29
Sean Abbott,7,7,26,0,190,14,13.57,7.31,0,0,11.14
Richard Gleeson,8,8,24.2,0,244,7,34.86,10.03,0,0,20.86
Mujeeb Zadran,6,6,24.5,0,147,3,49,6.17,0,0,47.67
James Pattinson,6,6,23.5,0,182,9,20.22,7.97,0,1,15.22
Brendan Doggett,8,8,22,0,185,3,61.67,8.41,0,0,44
James Faulkner,7,7,21,0,161,10,16.1,7.67,0,0,12.6
Mitchell Marsh,14,10,21,0,193,5,38.6,9.19,0,0,25.2
Nathan McAndrew,8,8,21.4,0,158,4,39.5,7.65,0,0,31
Daniel Christian,14,10,21.4,0,196,5,39.2,9.48,0,0,24.8
Riley Meredith,6,6,21.3,0,137,10,13.7,6.68,0,0,12.3
Jack Wildermuth,7,7,20,0,196,1,196,9.8,0,0,120
Clint Hinchliffe,11,10,20,0,162,8,20.25,8.1,0,0,15
Mohammad Nabi,6,6,19,0,166,5,33.2,8.74,0,0,22.8
Josh Hazlewood,5,5,18,0,112,5,22.4,6.22,0,0,21.6
Chris Green,7,7,18,0,136,3,45.33,7.56,0,0,36
Will Sutherland,10,7,18.4,0,146,4,36.5,8.26,0,0,26.5
Harry Conway,5,5,17.2,0,144,5,28.8,8.31,0,0,20.8
Nathan Lyon,6,5,17,0,127,5,25.4,7.47,0,0,20.4
D'Arcy Short,9,7,17,0,169,6,28.17,9.94,0,1,17
Joel Paris,5,5,15,0,149,3,49.67,9.93,0,0,30
Benjamin Manenti,5,4,15,0,108,6,18,7.2,0,0,15
Harry Gurney,4,4,14,0,141,3,47,10.07,0,0,28
Cameron Valente,6,4,14,0,122,3,40.67,8.71,0,0,28
Dale Steyn,4,4,13,0,81,5,16.2,6.23,0,0,15.6
Gurinder Sandhu,4,4,13,0,112,2,56,8.62,0,0,39
Liam Bowe,5,4,12,0,94,3,31.33,7.83,0,0,24
Travis Head,8,6,11,0,87,4,21.75,7.91,0,0,16.5
Mark Steketee,3,3,11,0,102,3,34,9.27,0,0,22
Lance Morris,5,5,10,0,119,1,119,11.9,0,0,60
Liam O'Connor,3,3,10,0,82,4,20.5,8.2,0,0,15
Beau Webster,14,4,9,0,70,0,0,7.78,0,0,0
Matt Renshaw,14,6,9,0,76,4,19,8.44,0,0,13.5
Liam Livingstone,14,5,8.1,0,64,4,16,7.84,0,0,12.25
Nic Maddinson,14,4,8,0,52,3,17.33,6.5,0,0,16
Tom Cooper,9,4,8,0,69,2,34.5,8.63,0,0,24
Matthew Short,15,4,7,0,55,0,0,7.86,0,0,0
Simon Milenko,10,3,6,0,48,3,16,8,0,0,12
Jack Prestwidge,5,4,6.4,0,47,6,7.83,8.29,0,0,5.67
Tom Andrews,2,2,5,0,36,2,18,7.2,0,0,15
Andrew Fekete,3,3,5,0,48,2,24,9.6,0,0,15
Joe Mennie,2,2,5,0,63,1,63,12.6,0,0,30
Dilbar Hussain,1,1,4,0,56,1,56,14,0,0,24
Hayden Kerr,5,2,3,0,19,0,0,6.33,0,0,0
Jackson Coleman,1,1,3,0,16,3,5.33,5.33,0,0,6
Marcus Stoinis,17,2,2,0,24,1,24,12,0,0,12
Jonathan Merlo,1,1,2,0,21,0,0,10.5,0,0,0
Marnus Labuschagne,3,2,2,0,22,0,0,11,0,0,0
Zak Evans,1,1,2,0,17,0,0,8.5,0,0,0
Moises Henriques,14,2,2,0,16,0,0,8,0,0,0
Morne Morkel,1,1,1,0,18,0,0,18,0,0,0
Tim David,8,1,1,0,3,0,0,3,0,0,0
Ashton Turner,7,1,1,0,6,0,0,6,0,0,0
Cameron Boyce,16,16,60.1,0,388,16,24.25,6.45,0,0,22.56
Ben Dwarshuis,15,15,57.3,0,414,16,25.88,7.33,0,0,21.19
Jofra Archer,15,15,56.1,0,423,18,23.5,7.53,0,0,18.72
Steve O'Keefe,15,15,56,1,368,21,17.52,6.57,0,0,16
Rashid Khan,14,14,56,1,344,19,18.11,6.14,0,0,17.68
Kane Richardson,14,14,55.5,0,425,24,17.71,7.75,0,0,13.71
Sean Abbott,15,15,54.1,1,443,22,20.14,8.18,0,0,14.77
Dwayne Bravo,16,15,53.1,0,424,15,28.27,7.97,0,0,21.27
Tom Curran,14,14,52.5,0,397,20,19.85,7.66,0,0,15.55
Nathan Coulter-Nile,13,13,51,0,380,14,27.14,7.45,0,0,21.86
Riley Meredith,13,13,49.1,0,422,16,26.38,8.58,1,0,18.44
Fawad Ahmed,14,12,47,0,330,13,25.38,7.02,0,0,21.69
Daniel Christian,16,16,47,0,347,15,23.13,7.38,1,0,18.8
James Faulkner,13,13,47.5,0,393,18,21.83,8.39,0,0,15.61
Mujeeb Zadran,12,12,47.3,1,281,12,23.42,6.04,0,0,23.25
Andrew Tye,14,14,46.5,1,390,17,22.94,8.51,1,0,16.18
Adam Zampa,13,13,45,1,310,14,22.14,6.89,0,0,19.29
Michael Neser,13,13,44.4,0,338,11,30.73,7.74,0,0,23.82
Ben Laughlin,13,13,44.3,0,366,10,36.6,8.41,0,0,26.1
Jason Behrendorff,11,11,40.2,1,252,9,28,6.25,0,0,26.89
Ben Cutting,14,13,40.3,0,356,12,29.67,9.01,0,0,19.75
Billy Stanlake,11,11,39,0,354,11,32.18,9.08,0,0,21.27
Josh Lalor,11,11,39,0,297,20,14.85,7.62,0,1,11.7
Mitch Swepson,12,11,37.2,0,318,9,35.33,8.52,0,0,24.89
Chris Green,14,13,37,1,255,8,31.88,6.89,0,0,27.75
D'Arcy Short,15,15,37,1,296,10,29.6,8,0,0,22.2
Daniel Sams,14,13,36,0,316,15,21.07,8.78,0,0,14.4
Clive Rose,14,14,36.5,0,280,4,70,7.81,0,0,53.75
Harry Gurney,9,9,34,0,244,10,24.4,7.18,0,0,20.4
Mohammad Nabi,14,13,31,0,229,8,28.63,7.39,1,0,23.25
Gurinder Sandhu,11,11,30,0,246,8,30.75,8.2,0,0,22.5
Sandeep Lamichhane,8,8,30.4,0,195,11,17.73,6.57,0,0,16.18
Johan Botha,10,10,29,0,216,8,27,7.45,0,0,21.75
Jack Wildermuth,10,10,28.2,0,208,6,34.67,7.34,0,0,28.33
Usman Khan,7,7,28,0,172,8,21.5,6.14,0,0,21
Jonathan Cook,9,9,28,1,186,8,23.25,6.64,0,0,21
Marcus Stoinis,13,11,27,0,226,14,16.14,8.37,1,0,11.57
Jackson Bird,9,9,27,1,181,7,25.86,6.7,0,0,23.14
Matthew Kelly,7,7,27,0,209,11,19,7.74,0,0,14.73
Liam Plunkett,8,8,26.4,0,211,12,17.58,8.22,1,0,12.83
Usman Qadir,7,7,24,0,203,6,33.83,8.46,0,0,24
Brendan Doggett,8,8,24.3,0,195,10,19.5,8.3,0,0,14.1
Benjamin Manenti,8,7,23,0,156,4,39,6.78,0,0,34.5
Liam O'Connor,7,7,23,0,193,5,38.6,8.39,0,0,27.6
Chris Jordan,7,7,22.3,0,193,5,38.6,8.98,0,0,25.8
Ashton Agar,7,6,20,0,138,5,27.6,6.9,0,0,24
Scott Boland,6,6,20.4,0,170,5,34,8.64,0,0,23.6
Peter Siddle,6,6,19.1,0,149,6,24.83,7.77,0,0,19.17
Jhye Richardson,5,5,19,1,123,7,17.57,6.47,0,0,16.29
Lloyd Pope,6,6,18,0,153,2,76.5,8.5,0,0,54
Glenn Maxwell,13,9,18,0,145,3,48.33,8.06,0,0,36
Chris Tremain,6,6,18,0,119,6,19.83,6.61,0,0,18
James Pattinson,5,5,17,0,115,4,28.75,6.76,0,0,25.5
Cameron Valente,7,7,17,0,160,4,40,9.41,0,0,25.5
Sam Rainbird,7,7,16.1,0,158,3,52.67,9.77,0,0,32.33
Jack Prestwidge,5,5,16,0,133,3,44.33,8.31,0,0,32
Daniel Worrall,5,5,16,0,127,6,21.17,7.94,1,0,16
David Moody,5,5,15,0,139,5,27.8,9.27,0,0,18
Matt Renshaw,9,6,14,0,97,2,48.5,6.93,0,0,42
David Willey,7,6,13,0,99,2,49.5,7.62,0,0,39
Qais Ahmad,3,3,12,0,89,7,12.71,7.42,0,0,10.29
Matthew Kuhnemann,3,3,10,0,69,2,34.5,6.9,0,0,30
Michael Beer,3,3,10,0,94,0,0,9.4,0,0,0
Matthew Short,11,5,9.5,0,76,2,38,8.6,0,0,26.5
Joe Denly,7,5,8,0,69,1,69,8.63,0,0,48
Clint Hinchliffe,3,3,8,0,62,1,62,7.75,0,0,48
Liam Bowe,3,3,8,0,73,2,36.5,9.13,0,0,24
Mark Steketee,2,2,7.1,0,73,2,36.5,10.19,0,0,21.5
Nathan Lyon,2,2,7,0,55,0,0,7.86,0,0,0
Wes Agar,2,2,7,0,59,2,29.5,8.43,0,0,21
Jackson Coleman,3,3,7,0,55,3,18.33,7.86,0,0,14
Joe Mennie,2,2,7,0,76,1,76,10.86,0,0,42
Nathan McAndrew,4,4,6,0,67,2,33.5,11.17,0,0,18
Mitchell Marsh,7,4,6,0,65,1,65,10.83,0,0,36
Arjun Nair,4,3,5,0,36,3,12,7.2,0,0,10
Tom O'Connell,4,3,5,0,36,1,36,7.2,0,0,30
Moises Henriques,15,4,5,0,43,1,43,8.6,0,0,30
Jarrod Freeman,2,2,4,0,37,1,37,9.25,0,0,24
Colin Ingram,13,2,4,0,27,1,27,6.75,0,0,24
Patrick Cummins,1,1,4,0,28,2,14,7,0,0,12
Aaron Hardie,2,2,4,0,38,2,19,9.5,0,0,12
Mickey Edwards,1,1,4,0,34,1,34,8.5,0,0,24
Ben Dunk,16,2,4,0,29,0,0,7.25,0,0,0
Evan Gulbis,12,2,3,0,12,0,0,4,0,0,0
Tom Cooper,16,3,3,0,18,0,0,6,0,0,0
William Bosisto,7,2,3,0,16,0,0,5.33,0,0,0
Simon Milenko,15,2,2.2,0,20,1,20,8.57,0,0,14
Jake Lehmann,9,2,2,0,26,0,0,13,0,0,0
Cameron Green,1,1,2,0,21,0,0,10.5,0,0,0
Anton Devcich,7,2,2,0,17,1,17,8.5,0,0,12
Jason Sangha,12,1,1,0,11,0,0,11,0,0,0
Joe Burns,5,1,1,0,8,1,8,8,0,0,6
Nic Maddinson,11,1,1,0,9,0,0,9,0,0,0
Joe Root,7,1,1,0,7,0,0,7,0,0,0
Ashton Turner,14,1,1,0,7,0,0,7,0,0,0
Greg West,1,1,1,0,23,0,0,23,0,0,0
Travis Head,3,1,1,0,10,0,0,10,0,0,0
Jofra Archer,12,12,46.2,1,370,16,23.13,7.99,0,0,17.38
Ben Laughlin,12,12,44,0,368,16,23,8.36,1,0,16.5
Rashid Khan,11,11,44,0,249,18,13.83,5.66,0,0,14.67
Dwayne Bravo,11,11,43.5,0,363,18,20.17,8.47,0,1,14.28
Michael Neser,11,11,41.5,0,372,13,28.62,9.11,0,0,18.85
Fawad Ahmed,10,10,40,1,245,12,20.42,6.13,0,0,20
Tymal Mills,10,10,40,0,389,8,48.63,9.73,0,0,30
Mitchell Johnson,10,10,40,1,254,7,36.29,6.35,0,0,34.29
Mitchell McClenaghan,10,10,39.2,0,361,11,32.82,9.18,0,0,21.45
Kane Richardson,10,10,39,1,314,12,26.17,8.05,2,0,19.5
Billy Stanlake,10,10,38,0,246,11,22.36,6.47,0,0,20.73
Jack Wildermuth,11,11,38,0,311,10,31.1,8.18,0,0,22.8
Peter Siddle,11,11,37,2,220,11,20,5.95,0,0,20.18
Clive Rose,12,12,37,0,303,8,37.88,8.19,0,0,27.75
Chris Green,10,10,36,0,265,7,37.86,7.36,0,0,30.86
Mark Steketee,10,10,36.4,0,322,10,32.2,9.03,0,0,21.4
Mitch Swepson,10,10,35,0,249,5,49.8,7.11,0,0,42
Ashton Agar,9,9,35,1,201,8,25.13,5.74,0,0,26.25
Cameron Boyce,10,10,34.3,0,264,6,44,7.88,0,0,33.5
Sean Abbott,10,10,33.2,0,283,13,21.77,8.49,1,0,15.38
Daniel Christian,12,12,33,0,293,11,26.64,8.88,1,0,18
John Hastings,10,10,32.2,0,287,10,28.7,8.88,0,0,19.4
Jhye Richardson,8,8,31,0,281,7,40.14,9.06,0,0,26.57
Johan Botha,10,10,30,0,195,3,65,6.5,0,0,60
Arjun Nair,10,8,29,0,205,9,22.78,7.07,0,0,19.33
Ben Dwarshuis,8,8,29,0,202,7,28.86,6.97,0,0,24.86
Brad Hogg,8,8,28,0,231,7,33,8.25,0,0,24
Yasir Shah,7,7,28,0,180,5,36,6.43,0,0,33.6
Mohammad Nabi,7,7,26.5,0,149,8,18.63,5.77,0,0,19.38
Gurinder Sandhu,7,7,25.3,1,215,9,23.89,8.78,0,0,16.33
Brendan Doggett,7,7,24,0,228,7,32.57,9.5,0,1,20.57
Andrew Tye,6,6,24.4,0,192,16,12,8.11,1,1,8.88
James Faulkner,10,10,23,0,183,6,30.5,7.96,0,0,23
Daniel Sams,6,6,23.3,0,178,7,25.43,7.91,1,0,19.29
David Willey,6,6,22,0,181,7,25.86,8.23,0,0,18.86
Josh Lalor,6,6,22,0,185,7,26.43,8.41,0,0,18.86
Matthew Kelly,5,5,19,0,133,8,16.63,7,0,0,14.25
Adam Zampa,5,5,18.4,0,138,2,69,7.81,0,0,53
Shane Watson,10,7,18.4,0,168,3,56,9.51,0,0,35.33
Tim Bresnan,5,5,17.2,0,170,8,21.25,9.81,0,0,13
D'Arcy Short,11,8,17,0,134,3,44.67,7.88,0,0,34
Joel Paris,4,4,16,0,143,3,47.67,8.94,0,0,32
Nathan Lyon,4,4,16,0,94,7,13.43,5.88,0,0,13.71
Marcus Stoinis,5,5,16,0,170,5,34,10.63,0,0,19.2
Ben Cutting,10,7,15.2,0,153,5,30.6,9.98,0,0,18.4
Jackson Coleman,6,6,15.2,0,111,5,22.2,7.24,0,0,18.4
Thomas Rogers,4,4,15,0,140,4,35,9.33,0,0,22.5
Chris Tremain,4,4,15,0,119,7,17,7.93,0,0,12.86
Daniel Worrall,5,5,15,0,135,2,67.5,9,0,0,45
Michael Beer,5,5,15.4,0,115,3,38.33,7.84,0,0,29.33
Carlos Brathwaite,4,4,15.4,0,108,6,18,7.36,0,0,14.67
Evan Gulbis,6,6,13,0,106,4,26.5,8.15,0,0,19.5
Travis Head,9,6,13,0,116,4,29,8.92,0,0,19.5
Shadab Khan,3,3,12,0,85,6,14.17,7.08,0,0,12
Tom Cooper,11,7,12,0,89,1,89,7.42,0,0,72
