Player,Mat,Inn,Overs,Mdns,Runs,Wkts,Ave,Econ,4w,5w,SR
Qais Ahmad,8,7,20,0,152,7,21.71,7.6,0,0,17.14
Keemo Paul,6,6,19,0,165,6,27.5,8.68,0,0,19
Imad Wasim,7,7,27,0,182,6,30.33,6.74,0,0,27
Rovman Powell,11,6,11,0,120,5,24,10.91,0,0,13.2
Jason Holder,10,10,32.3,0,286,5,57.2,9.08,0,0,37.8
Ish Sodhi,2,2,8,0,72,4,18,9,0,0,12
Romario Shepherd,3,3,10,0,88,4,22,8.8,0,0,15
Imran Khan,5,4,12,0,76,4,19,6.33,0,0,18
Kevon Cooper,5,4,10,0,108,4,27,10.8,0,0,15
Alzarri Joseph,4,4,14.3,0,157,4,39.25,11.63,0,0,20.25
Mahmudullah,8,5,15,1,107,4,26.75,7.13,0,0,22.5
Samuel Badree,6,6,17,0,135,4,33.75,7.94,0,0,25.5
Kieron Pollard,9,6,16.4,0,152,4,38,9.7,0,0,23.5
Ashley Nurse,8,8,23,0,196,4,49,8.52,0,0,34.5
Steven Smith,7,3,6.3,0,60,3,20,10.91,0,0,11
Anderson Phillip,3,3,7,0,85,3,28.33,12.14,0,0,14
Tabraiz Shamsi,3,3,12,0,93,3,31,7.75,0,0,24
Chemar K Holder,3,3,11,0,108,3,36,9.82,0,0,22
Roshon Primus,4,4,9.1,0,86,3,28.67,9.38,0,0,18.33
Shannon Gabriel,4,4,11.3,0,119,3,39.67,11.33,0,0,21
Rahkeem Cornwall,8,8,20.4,0,152,3,50.67,7.73,0,0,39.33
Christopher Lamont,1,1,4,0,21,2,10.5,5.25,0,0,12
Jeremiah Louis,3,3,7,0,68,2,34,9.71,0,0,21
Steven Jacobs,3,3,10,0,78,2,39,7.8,0,0,30
Veerasammy Permaul,3,3,11,1,88,2,44,8,0,0,33
Devendra Bishoo,3,3,10,0,119,2,59.5,11.9,0,0,30
Javon Searles,7,4,7,0,72,2,36,10.29,0,0,21
Fabian Allen,4,4,11,0,88,2,44,8,0,0,33
Kavem Hodge,5,5,17,0,139,2,69.5,8.18,0,0,51
Anton Devcich,11,7,15,0,128,2,64,8.53,0,0,45
Colin Ingram,4,1,1,0,10,1,10,10,0,0,6
Nikita Miller,1,1,2,0,25,1,25,12.5,0,0,12
Chris Gayle,11,1,4,0,33,1,33,8.25,0,0,24
Mark Chapman,4,2,3,0,33,1,33,11,0,0,18
Kemar Roach,2,2,8,0,91,1,91,11.38,0,0,48
Shamar Springer,3,3,4,0,44,1,44,11,0,0,24
Colin de Grandhomme,4,4,7,0,82,1,82,11.71,0,0,42
Sohail Tanvir,12,12,45,1,315,17,18.53,7,0,1,15.88
Dwayne Bravo,13,13,41,0,380,16,23.75,9.27,1,0,15.38
Kesrick Williams,11,11,41,0,391,15,26.07,9.54,0,0,16.4
Rayad Emrit,12,12,42.5,2,318,15,21.2,7.6,1,0,16.73
Krishmar Santokie,10,10,37.4,1,282,14,20.14,7.69,0,0,15.71
Rashid Khan,12,12,47.4,1,272,14,19.43,5.83,0,0,20
Shadab Khan,8,8,32,1,184,12,15.33,5.75,1,0,16
Kevon Cooper,9,9,26.2,0,185,12,15.42,7.03,0,0,13.17
Mohammad Sami,10,10,37,0,284,12,23.67,7.68,1,0,18.5
Sunil Narine,13,13,51,2,275,12,22.92,5.39,0,0,25.5
Sheldon Cotterrell,6,6,21,1,138,11,12.55,6.57,0,0,11.45
Tabraiz Shamsi,10,8,30,0,223,11,20.27,7.43,0,0,16.36
Wayne Parnell,10,10,32,0,258,11,23.45,8.06,0,0,17.45
Ronsford Beaton,10,10,35,1,270,11,24.55,7.71,0,0,19.09
Wahab Riaz,9,9,29.1,1,228,10,22.8,7.82,0,0,17.5
Carlos Brathwaite,12,11,33,0,255,10,25.5,7.73,1,0,19.8
Mohammad Nabi,12,11,34,1,223,9,24.78,6.56,0,0,22.67
Kieron Pollard,10,6,18,0,135,8,16.88,7.5,1,0,13.5
Shane Shillingford,9,8,29,1,207,8,25.88,7.14,1,0,21.75
Samuel Badree,9,9,25,0,198,8,24.75,7.92,0,0,18.75
Jerome Taylor,10,9,31,0,296,8,37,9.55,0,0,23.25
Steven Jacobs,10,10,35,1,254,8,31.75,7.26,0,0,26.25
Javon Searles,13,6,14,0,112,7,16,8,0,0,12
Kyle Mayers,9,7,20.4,0,176,7,25.14,8.95,0,0,16.86
Mohammad Hafeez,9,8,25,0,128,7,18.29,5.12,0,0,21.43
Akeal Hosein,9,8,23,0,159,6,26.5,6.91,0,0,23
Ravi Rampaul,8,8,27,0,259,6,43.17,9.59,0,0,27
Odean Smith,4,4,16.5,0,143,5,28.6,9.03,0,0,19
Hasan Ali,5,5,20.3,0,143,5,28.6,7.33,0,0,23.4
